EmployeeNumber,Age,Department,JobRole,Salary,YearsAtCompany,JobSatisfaction,WorkLifeBalance,PerformanceRating,Education,EducationField,Gender,MaritalStatus,NumCompaniesWorked,TotalWorkingYears,TrainingTimesLastYear,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,HireDate,TerminationDate,Attrition
1,38,IT,Engineer,65944,15,3,3,1,2,Technical Degree,Female,Divorced,3,21,1,15,0,5,2010-01-03,,No
2,33,IT,System Administrator,67312,15,4,4,5,4,Technical Degree,Male,Married,3,21,2,15,5,12,2010-01-03,,No
3,40,Operations,Supply Chain Manager,95009,15,4,3,2,5,Life Sciences,Male,Divorced,1,24,0,15,2,7,2010-01-07,,No
4,47,Sales,Sales Manager,83996,15,1,4,4,2,Other,Male,Divorced,4,18,1,15,15,13,2010-01-11,2013-05-23,Yes
5,33,IT,IT Manager,104102,15,2,2,3,1,Technical Degree,Male,Single,0,23,2,13,6,13,2010-01-16,,No
6,33,Engineering,Engineering Manager,110540,15,5,5,3,1,Life Sciences,Female,Married,8,16,2,5,4,15,2010-01-26,,No
7,47,IT,Engineer,105843,15,5,4,2,5,Life Sciences,Male,Single,4,23,6,15,12,4,2010-01-27,2019-01-31,Yes
8,41,Marketing,Marketing Manager,72010,15,1,1,3,5,Other,Female,Married,5,24,5,15,15,15,2010-02-03,2019-01-26,Yes
9,31,Sales,Sales Director,80048,15,2,3,3,4,Marketing,Male,Single,1,17,2,15,0,10,2010-02-05,,No
10,39,Research,Research Scientist,117606,15,3,2,1,3,Medical,Male,Married,9,16,5,15,13,3,2010-02-09,,No
11,31,Sales,Account Executive,82609,15,1,1,4,1,Marketing,Male,Divorced,9,18,3,6,6,12,2010-02-26,,No
12,31,Research,Research Director,125647,15,1,2,4,5,Medical,Male,Single,0,19,6,1,0,1,2010-02-26,2012-08-27,Yes
13,36,HR,HR Manager,124921,15,5,5,1,1,Human Resources,Male,Divorced,3,16,4,10,10,11,2010-03-08,2016-03-18,Yes
14,19,Research,Research Scientist,72228,15,1,3,1,5,Life Sciences,Male,Single,6,15,6,5,5,15,2010-03-19,2019-03-14,Yes
15,21,IT,Developer,83130,15,1,3,3,2,Life Sciences,Male,Single,5,24,0,15,0,13,2010-03-22,2011-04-09,Yes
16,30,Research,Research Director,109824,15,1,5,5,1,Medical,Female,Divorced,9,19,4,1,1,15,2010-03-25,,No
17,26,Marketing,Marketing Manager,112864,15,5,3,3,2,Marketing,Male,Married,0,23,4,15,9,8,2010-04-03,2019-07-22,Yes
18,37,Research,Research Director,93367,15,3,4,1,1,Life Sciences,Female,Married,0,19,5,15,12,15,2010-04-06,,No
19,27,Finance,Finance Manager,127826,15,3,2,4,3,Other,Female,Single,7,24,4,15,3,15,2010-04-07,2012-12-20,Yes
20,23,Operations,Supply Chain Manager,72128,15,1,1,3,4,Technical Degree,Male,Married,3,23,2,11,8,15,2010-04-14,2011-05-01,Yes
21,46,Marketing,Marketing Specialist,85285,15,5,5,5,2,Marketing,Male,Married,4,24,5,15,13,2,2010-04-20,,No
22,33,Sales,Sales Representative,72956,15,3,4,3,5,Life Sciences,Male,Married,6,20,4,15,3,3,2010-04-21,2020-01-26,Yes
23,35,IT,IT Manager,145464,15,3,1,2,3,Technical Degree,Female,Married,7,17,5,7,7,3,2010-04-22,2016-03-06,Yes
24,23,IT,Developer,112201,15,3,1,3,1,Technical Degree,Male,Divorced,9,18,3,15,7,6,2010-04-22,2014-12-23,Yes
25,30,IT,Technical Specialist,92796,15,5,5,1,2,Technical Degree,Female,Married,6,18,5,15,15,10,2010-04-24,,No
26,35,IT,Technical Specialist,127158,15,5,4,4,1,Other,Male,Divorced,1,15,1,15,2,15,2010-04-25,2019-06-02,Yes
27,25,Research,Research Director,99817,15,1,1,4,1,Life Sciences,Female,Married,3,17,2,15,15,15,2010-04-28,2018-10-24,Yes
28,38,IT,Developer,66412,15,4,1,1,1,Other,Male,Married,9,17,0,10,10,15,2010-04-30,,No
29,30,Engineering,Engineer,73507,15,3,4,2,4,Technical Degree,Female,Single,0,15,1,15,6,14,2010-05-05,2020-01-23,Yes
30,32,HR,HR Director,103587,15,4,3,1,4,Other,Male,Married,9,23,1,15,9,15,2010-05-13,2017-07-03,Yes
31,30,IT,Engineer,110499,15,5,1,3,5,Technical Degree,Male,Divorced,8,15,1,4,2,7,2010-05-14,2016-03-08,Yes
32,49,Sales,Sales Representative,51840,15,5,2,1,2,Marketing,Male,Single,2,23,4,15,1,1,2010-05-16,2016-04-15,Yes
33,34,Operations,Operations Manager,100183,15,5,4,1,3,Technical Degree,Male,Single,2,15,5,15,14,15,2010-05-23,,No
34,26,Finance,Financial Analyst,55763,15,4,1,2,3,Life Sciences,Female,Married,9,16,5,15,8,5,2010-05-24,2018-09-21,Yes
35,41,Marketing,Marketing Director,124023,15,5,5,3,3,Marketing,Male,Single,8,16,6,12,12,1,2010-05-29,,No
36,25,Sales,Sales Manager,118950,15,1,2,5,1,Marketing,Male,Divorced,9,20,4,8,0,15,2010-06-06,,No
37,36,IT,IT Manager,141742,15,5,1,5,4,Life Sciences,Male,Divorced,2,21,2,8,6,15,2010-06-08,2011-12-05,Yes
38,19,Engineering,Technical Director,137857,15,2,2,4,2,Technical Degree,Male,Married,7,15,4,15,15,10,2010-06-09,2013-02-25,Yes
39,24,Engineering,Technical Director,149768,14,4,2,1,1,Technical Degree,Male,Single,1,16,4,6,1,12,2010-06-21,2015-09-16,Yes
40,36,Operations,Operations Specialist,76639,14,2,3,4,4,Technical Degree,Female,Married,2,15,4,5,5,14,2010-07-04,2019-03-30,Yes
41,40,IT,IT Manager,108924,14,5,2,2,4,Technical Degree,Male,Married,1,21,2,2,1,2,2010-07-24,,No
